ID_Annotation,UUID,ID_Text,ID_Entity,QUOTE_TRANSCRIPTION,Length_quote,START,STOP,Paragraph,Page/Column
1,045fae6c-9e2e-4b6b-a92f-a3c29e008d89,3,9,Δουναλέ,7,43,49,,coll. 317-318
2,fdd73e7c-8c39-48a3-a136-fedbdd4ea908,3,24,Στεφάνου,8,112,119,,coll. 317-318
3,b14186ca-00ea-4cdb-a6fd-7886a26272a5,3,21,Ῥωμανοῦ,7,225,231,,coll. 317-318
4,8f6134b9-bf47-4e1e-aa1a-7ef4890112e2,3,7,Κωνσταντίνου ‌,14,239,252,,coll. 317-318
5,42f8aafb-0f0d-4498-b550-ba0566ee0712,3,23,νήσου,5,319,323,,coll. 317-318
6,f2631f41-af4b-4831-bbcd-a69668e9ba45,3,11,Νιβερτὶς,8,354,361,,coll. 317-318
7,829e48f7-d12d-4a63-96a5-4680bf29b8ea,3,4,Βερόη,5,392,396,,coll. 317-318
8,67dc812e-1809-4313-9a40-95cba3e23366,3,5,Γαδείρων,8,415,422,,coll. 317-318
9,4b375fb8-ea63-4029-a6ca-b8155ff2ba87,3,3,Ὠκεανοῦ,7,436,442,,coll. 317-318
10,64967315-5c81-457a-b2e3-994e6b12d58f,3,14,Ἰώβ,3,770,772,,coll. 317-318
11,63ff1fb6-5b58-4d51-9900-932fb76f2750,3,12,Ἱεροσόλυμα,10,922,931,,coll. 317-318
12,5454dc22-e3f0-42ee-a255-2f84e5a0934f,3,22,Ῥώμῃ ‌,6,1090,1095,,coll. 317-318
13,dc07c119-0da1-498e-8209-9b1dc05601dc,3,19,Πέτρου,6,1165,1170,,coll. 317-318
14,8b4e6bc8-ba18-4efe-a950-b48531a86325,3,18,Παύλου,6,1178,1183,,coll. 317-318
15,1e209a5a-d59a-4c4e-a8f8-1d5dab17a359,3,17,ἐν ‌τῇ Ῥώμῃ ‌ἔρχεται,20,1322,1341,,coll. 317-318
16,ada8f0c1-16b0-4fb1-ad24-c0a6ef37a2ea,3,22,Ῥώμῃ,4,1329,1332,,coll. 317-318
17,d3332a36-2753-4553-9c24-b51c97625474,3,2,Ἀγαπητῷ,7,1377,1383,,coll. 317-318
18,ed14e174-a9ec-48b1-af6f-7abea5f8f0df,3,19,Πέτρῳ,5,1848,1852,,coll. 317-318
19,fd3292fe-7a71-4673-ac23-c91a4091f3e5,3,25,‌ἔφθασε ‌δὲ ‌καὶ ‌ἕως ‌τῆς ‌εὐσεβοῦς ‌βασιλείας ‌Ῥωμανοῦ ‌καὶ ‌Κωνσταντίνου ‌τῶν ‌πορφυρογεννήτων ‌καὶ ‌χριστιανικωτάτων ‌βασιλέων,130,176,305,,coll. 317-320
20,7e359d32-e5b8-48aa-91a0-bf5b348de46d,3,22,Ῥώμην,5,2293,2297,,coll. 319-320
21,4ccbed96-6035-4d01-bece-6907e9b4b4af,3,1,Ἀλβερίχου,9,2299,2307,,coll. 319-320
22,0b4f6863-3747-4bab-9bd8-c11995481e84,3,20,πρὸς ‌τὴν ‌βασιλεύουσαν ‌τῶν ‌πόλεων ‌ἔρχεται,45,2351,2395,,coll. 319-320
23,ad3dae30-8cc6-4def-8760-5f06a7d15738,3,8,βασιλεύουσαν,12,2362,2373,,coll. 319-320
24,c2d5a8e0-9460-4021-89de-e3c07b4b395f,3,7,Κωνσταντίνῳ,11,2404,2414,,coll. 319-320
25,2d1c5326-307b-495d-a32a-3a7acd7709e3,3,21,Ῥωμανῷ,6,2422,2427,,coll. 319-320
26,52d82b3b-79ac-4253-a88f-ae83089641b6,3,12,Ἱεροσόλυμα,10,2976,2985,,coll. 319-320
27,72f0e57c-6c2e-48cc-8026-4c9c7a922701,3,16,καταλαμβάνει ‌τὰ Ἱεροσόλυμα,27,3118,3144,,coll. 319-320
28,5fa0253d-5579-4ff9-bc6d-0a3d97c60dab,3,12,Ἱεροσόλυμα,10,3135,3144,,coll. 319-320
30,96a02f8f-75bd-4cbe-912b-47d4f027d07c,3,6,Χριστοδούλου,12,3213,3224,,coll. 319-320
31,13e3f52a-5b7e-429d-92d6-b800928db127,3,24,Στέφανος,8,3259,3266,,coll. 319-320
32,085c348a-a1c9-40ac-8b6b-608e74a98fad,3,10,Αἴγυπτον,8,3712,3719,,coll. 319-320
34,9649c273-df8b-4a4f-866d-bf02c6b4a710,3,15,Ἰωσήφ,5,3813,3817,,coll. 319-320
29,1c29e36d-c49a-4271-be1a-bfeffb0fad73,3,13,Ταβαρίας,8,3852,3859,,coll. 319-320
33,ab4805e9-fdf0-4a32-ab87-e32ebc31ddea,3,10,Αἰγύπτου,8,4087,4094,,coll. 319-320
35,7f83eeae-1ded-4907-a28b-87f9146cacad,1,82,Μιχαὴλ,6,54,59,,p. 44
36,90147b49-7b6e-445b-97f0-7f08a3c9cfe9,1,12,`Ιεροσολύμων,12,104,115,,p. 44
37,b97e9bac-5093-43fc-bd15-cd1875ae26f7,1,82,Μιχαήλ,6,463,468,,p. 44
38,f7f53f5a-6a73-465e-accc-68172f57d17d,1,12,`Ιερουσαλήμ,11,554,564,,p. 44
39,fc9d0cf9-f1a7-4d5b-8017-bc4f6548e6f7,1,8,Κωνσταντινούπολις,17,640,656,,p. 44
40,f7c1eddf-b422-448f-b249-95b5fce830a3,1,90,μονῆς τῆς Χώρας,15,687,701,,p. 44
41,4cdde7b6-038c-4b7a-8a74-e80f2ce0d87a,1,12,`Ιεροσολύμων,12,775,786,§1,p. 44
42,28f47823-b50c-477b-942c-8a0d9c6ed040,1,38,῎Αννῃ,5,1319,1323,§1,p. 44
43,c3bca05c-8050-4d51-95f5-ee8cab82262c,1,112,Σαμουήλ,7,1371,1377,§1,p. 44
44,b7b2cbdd-f270-448a-8da6-3448c1ab2ad2,1,82,Μιχαήλ,6,2066,2071,§1,p. 44
45,eb16b901-eece-4050-814c-f9d256cdff90,1,51,'Ανάστασιν,10,2414,2423,§2,p. 46
46,dbf45fd1-56ea-4801-a94e-e036fba83eb9,1,51,'Αναστάσεως,11,2725,2735,§2,p. 46
47,24628555-ac49-4dcc-aff7-957e8bb827c3,1,51,'Αναστάσεως,11,3044,3054,§2,p. 46
48,b527d18e-72c7-4194-9b0c-390837858fe0,1,51,'Αναστάσει,10,3174,3183,§2,p. 46
49,59eccee5-41da-4cbb-a7bb-9b750d3d2233,1,82,Μιχαὴλ,6,4813,4818,§3,p. 48
50,7e537fe3-27c0-41aa-968f-ce1c94b31495,1,50,τῆς ἁγίας Σιών,14,4949,4962,§3,p. 48
51,9fb60b01-702f-4700-8038-1d1a57c1012d,1,84,καταλαμβάνει,12,5320,5331,§3,p. 48
52,af78c48f-5da4-49d1-91b9-1024a85ee8cf,1,93,τὴν μεγίστην λαύραν τοῦ ἐν ἁγίοις πατρὸς ἡμῶν καὶ καθηγητοῦ τῆς ἐρήμου Σάβα,75,5333,5407,§3,p. 48
53,c61b1019-ad8f-47a4-8561-c430e7af3852,1,27,ἦν γὰρ ὡς ἐτῶν εἴκοσι καὶ πέντε,31,5705,5735,§3,p. 50
54,b2341c35-afdd-4a4c-9e9f-1775edbcd988,1,82,Μιχαήλ,6,6003,6008,§3,p. 50
55,75cf557e-5d12-4532-b53b-1f1b239b67d9,1,93,Λαύρας,6,7075,7080,§5,p. 52
56,cef253bf-5e1a-457a-937d-24ccf4b1ec65,1,128,Θωμᾶν,5,7133,7137,§4,p. 50
57,09437841-a6c0-423e-8b9b-c4d95d599ceb,1,82,Μιχαήλ,6,7206,7211,§4,p. 50
58,3f1de947-db33-4f6b-8539-a2122a05821d,1,82,Μιχαὴλ,6,7307,7312,,p. 44
59,30a39448-c018-45b4-8b46-1633ec17cf67,1,51,'Αναστάσει,10,7347,7356,§2,p. 46
60,708ddf4f-c13a-4614-8655-f13362bf00f4,1,82,Μιχαήλ,6,8084,8089,§4,p. 52
61,02939640-c6a4-4d4b-aebf-ebd94c00d906,1,118,Θεοδώρου,8,8410,8417,§5,p. 52
62,d258f488-1955-452f-bf12-f95a87b7660e,1,124,Θεοφάνους,9,8423,8431,§5,p. 52
63,19bee7f0-123f-4185-b2f4-4e15d51194bb,1,118,Θεοδώρου,8,8448,8455,§5,p. 52
64,f5d44f75-ba50-4289-b6ab-984375c870d4,1,124,Θεοφάνους,9,8504,8512,§5,p. 52
65,dc2a91e5-162e-403e-abcd-086c9c9d7cf6,1,82,Μιχαὴλ,6,8564,8569,,p. 44
66,10c61e7a-ce90-4d46-801e-af9c77ee6173,1,93,Λαύρας,6,8584,8589,§5,p. 52
67,08092ef6-74df-45a4-b822-53a48e304c68,1,82,Μιχαήλ,6,9611,9616,§5,p. 54
68,0ec87e4e-cdd4-4606-88a8-fae8db419c63,1,28,πεντηκοστῷ,10,9953,9962,§5,p. 54
69,7628fb9f-7d6c-4fed-b316-8232556f63c5,1,82,Μιχαὴλ,6,9980,9985,,p. 44
70,843072bc-625e-4915-bf3d-730893d7c8a2,1,128,Θωμᾶς,5,10046,10050,§5,p. 54
71,6029abe6-e5d6-42f2-8904-4e7a701d8ca5,1,82,Μιχαὴλ,6,10085,10090,§5,p. 54
72,4a393a1d-8890-418c-be86-f6e78f2b78bf,1,85,μεταστήσας,10,10119,10128,§5,p. 54
73,be78f8f6-1ad2-4b9e-9f66-da183c5e8ffa,1,51,'Αναστάσει,10,10202,10211,§5,p. 54
74,ec25aaad-d941-40b5-9d0a-d854fa528030,1,118,Θεοδώρου,8,10268,10275,§5,p. 54
75,f67ec7ed-4f2f-410b-97c6-34678085cd76,1,124,Θεοφάνους,9,10286,10294,§5,p. 54
76,f39208ac-5f45-40ce-9870-4ad09341c6af,1,94,μονῇ τῶν Σπουδαίων,18,10328,10345,§5,p. 54
77,cbcefeea-0436-4a45-8f89-be556520b1c6,1,61,Ηλία,4,10392,10395,§5,p. 54
78,a30a356f-d613-4049-9498-c1d1265fbf2f,1,51,'Αναστάσεως,11,10437,10447,§5,p. 54
79,87a6df19-b62f-4bfd-97ce-0746b6869e36,1,82,Μιχαήλ,6,10519,10524,§5,p. 54
80,84e8080e-a95e-49c7-a9f3-7d8d3b50f7b4,1,118,Θεόδωρον,8,10527,10534,§5,p. 54
81,5df01e80-de25-40e7-a674-2b61ef5736a4,1,124,Θεοφάνην,8,10540,10547,§5,p. 54
82,c7e2b345-b057-43d3-9ef3-3d4abf3fd4ee,1,51,'Αναστάσεως,11,10609,10619,§5,p. 54
83,e6af1ec1-44ba-4097-a922-93a84e34052a,1,82,Μιχαὴλ,6,10657,10662,§5,p. 54
84,137f5534-8c0d-421e-9b31-1bc7e7dc0df8,1,128,Θωμᾶς,5,10702,10706,§5,p. 54
85,de1bd648-bc62-425d-af31-c6073a63c5d3,1,82,Μιχαὴλ,6,10763,10768,§6,p. 54
86,a9c05a6b-1883-433d-b7d4-49299844143a,1,19,Πέτρου,6,10926,10931,§6,p. 54
87,fc7e7172-6acc-4fe3-b757-12e9f593ce96,1,14,Παύλου,6,10937,10942,§6,p. 54
88,430b8ba2-6b9d-4ad8-9b3b-f852decfd641,1,22,`Ρώμῃ,5,10988,10992,§6,p. 54
89,5cf10a42-4100-4a46-87fe-04cd58296899,1,102,Νέρωνος,7,10998,11004,§6,p. 54
90,766e4fa6-1a58-4dec-a20f-059d2689c912,1,8,Κωνσταντινουπόλει,17,11260,11276,§6,p. 56
91,32159643-11af-4a8e-a0e3-ac9ae384941e,1,78,Μακεδονίου,10,11297,11306,§6,p. 56
92,b44406bb-34f6-47da-9f73-7f5fd7ab7f5f,1,122,Θεοδοσίου τοῦ Μεγάλου,21,11379,11399,§6,p. 56
93,f2d4248c-3387-42df-a163-1bfd539df4b7,1,22,`Ρώμην,6,11543,11548,§6,p. 56
94,cfa52edc-579f-499b-9707-41f8b5ecf98b,1,128,Θωμᾶν,5,11792,11796,§6,p. 56
95,5a1baebe-4bc0-4dda-bcc5-04cb25112fce,1,82,Μιχαὴλ,6,12126,12131,§6,p. 56
96,a10c0196-989f-46a5-aec4-8173a97066a7,1,114,Σικελίᾳ,7,12206,12212,§6,p. 56
97,cb517c58-53ca-4ce8-a5af-8d8afe1e6804,1,128,Θωμᾶς,5,12299,12303,§6,p. 56
98,8e930682-0986-4b5f-997f-817b4990efdb,1,82,Μιχαὴλ,6,12536,12541,§6,p. 56
99,f52ba04a-cb91-40e1-b378-11bc910dca68,1,22,`Ρώμῃ,5,12594,12598,§6,p. 56
100,05b0db70-d3f0-410c-9e50-7d767f70000c,1,51,'Αναστάσει,10,13121,13130,§6,p. 56
101,d13de6c5-6f95-46ca-8cac-6af9848cd9cd,1,12,`Ιερουσαλήμ,11,13192,13202,§6,p. 56
102,994a7490-8e3f-4303-af9e-3ee8b3c31ee6,1,82,Μιχαὴλ,6,13431,13436,§6,p. 58
103,ca5654a2-3251-443b-9372-f93a1621789c,1,51,'Αναστάσει,10,13589,13598,§6,p. 58
104,b3dfa755-ae70-4359-97f6-3a95ac5f4d14,1,8,Κωνσταντινουπόλει,17,13889,13905,§6,p. 58
105,e5f9155a-b078-4f5b-89f3-0f40d1e44605,1,123,Θεόδοτον,8,13921,13928,§6,p. 58
106,dcfa877b-7683-4dc9-bbea-d72e2a53a93b,1,75,Λέοντα,6,14005,14010,§6,p. 58
107,d01fcb5b-42c3-4336-9283-41baee07e358,1,75,Λέοντος,7,14271,14277,§6,p. 58
108,b97a257f-834f-4a7b-bc2f-a04ce7980ba8,1,82,Μιχαήλ,6,14330,14335,§6,p. 58
109,d0ef264f-a857-483e-b000-4bf6b81c4416,1,22,`Ρώμῃ,5,14400,14404,§6,p. 58
110,0d08924c-3819-4bc3-9292-61d07b00460e,1,119,Θεόδωρος ὁ τῶν Στουδίων,23,14542,14564,§7,p. 58
111,727e9014-3d6c-4e58-91f1-63182a997304,1,104,Νικηφόρου τοῦ βασιλέως,22,14598,14619,§7,p. 58
112,26181d2a-434a-4e4e-8211-108f38ab323e,1,8,Κωνσταντινουπόλει,17,14766,14782,§7,p. 58
113,064e0064-86dd-4b83-a169-92ebe56e05cc,1,123,Θεόδοτον,8,14927,14934,§7,p. 58
114,60e41d26-907a-448a-a4d2-972bb2505a9b,1,75,Λέοντα,6,14985,14990,§7,p. 58
115,9a128351-a849-442b-a98e-531d36f4f81d,1,82,Μιχαήλ,6,15124,15129,§8,p. 60
116,6e164233-ad30-4e2f-85fd-4c03b0f0f6c0,1,86,ἐξῆλθε,6,15424,15429,§8,p. 60
