ID_Entity,Label_GR,Label_ENG,TYPE,Subtype,Wikidata,Wiki_URI,VIAF,VIAF_URI,TM,TM_URI,PmbZ,PmbZ_URI,Pleiades,Pleiades_URI,GeoNames,GeoNames_URI,LAT,LNG
1,Ἀλβέριχος,"Adalbert, King of Italy, 950-961",PERSON,king,Q347480,https://www.wikidata.org/wiki/Q347480,166159474191027661919,https://viaf.org/viaf/166159474191027661919/,,,20223,https://www.degruyter.com/database/PMBZ/entry/PMBZ22376/html,,,,,,
2,Ἀγαπητός,"Agapetus II, Pope, 946-955",PERSON,pope,Q103389,https://www.wikidata.org/wiki/Q103389,311313754,https://viaf.org/viaf/311313754/,,,20159,https://www.degruyter.com/database/PMBZ/entry/PMBZ22312/html,,,,,,
3,Ὠκεανός,Atlantic Ocean,PLACE,ocean,Q97,https://www.wikidata.org/wiki/Q97,58145602536301361817,https://viaf.org/viaf/58145602536301361817/,,,,,845,https://pleiades.stoa.org/places/845,3373405,https://www.geonames.org/3373405,-19.665682,31.937048
4,Βερόη,Bay of Cadiz,PLACE,bay,Q662059,https://www.wikidata.org/wiki/Q662059,341145424530286830060,https://viaf.org/viaf/341145424530286830060/,,,,,,,2565261,https://www.geonames.org/2565261,,
5,Γάδειρα,Gadeira/Cadiz,PLACE,city,Q5890310,https://www.wikidata.org/wiki/Q5890310,133675177,https://viaf.org/viaf/133675177/,TM Geo 13580,https://www.trismegistos.org/place/13580,,,256177,http://pleiades.stoa.org/places/256177,2520600,https://www.geonames.org/2520600,36.528381,-6.294444
6,Χριστόδουλος,"Christodoulos I, Patriarch of Jerusalem, 937-951",PERSON,patriarch,Q61721803,https://www.wikidata.org/wiki/Q61721803,,,,,21244,https://www.degruyter.com/database/PMBZ/entry/PMBZ23397/html,,,,,,
7,Κωνσταντῖνος,"Constantine VII, Byzantine Emperor, 913-959",PERSON,emperor,Q41608,https://www.wikidata.org/wiki/Q41608,13108540,http://viaf.org/viaf/13108540,,,23734,https://www.degruyter.com/database/PMBZ/entry/PMBZ25888/html,,,,,,
8,βασιλεύουσα,Constantinople,PLACE,city,Q16869,https://www.wikidata.org/wiki/Q16869,122641741,https://viaf.org/viaf/122641741/,TM Geo 478,https://www.trismegistos.org/place/478,,,520998,http://pleiades.stoa.org/places/520998,745044,https://www.geonames.org/745044,41.012379,28.975926
9,Δουναλέ,Dounale,PERSON,saint,,,,,,,21610,https://www.degruyter.com/database/PMBZ/entry/PMBZ23763/html,,,,,,
10,Αἴγυπτος,Egypt,PLACE,country,Q79,https://www.wikidata.org/wiki/Q79,130890862,https://viaf.org/viaf/130890862/,TM Geo 49,https://www.trismegistos.org/place/49,,,981503,https://pleiades.stoa.org/places/981503,357994,https://www.geonames.org/357994,26.4902014068366,29.88079616977313
11,Νιβερτίς,Huelva,PLACE,city,Q12246,https://www.wikidata.org/wiki/Q12246,146580089,https://viaf.org/viaf/146580089/,TM Geo 26120,https://www.trismegistos.org/place/26120,,,256346,http://pleiades.stoa.org/places/256346,6358217,https://www.geonames.org/6358217,37.257074,-6.949713
12,Ἱεροσόλυμα,Jerusalem,PLACE,city,Q1218,https://www.wikidata.org/wiki/Q1218,131280745,https://viaf.org/viaf/131280745/,TM Geo 853,https://www.trismegistos.org/place/853,,,687928,http://pleiades.stoa.org/places/687928,281184,https://www.geonames.org/281184,31.776667,35.234167
14,Ἰώβ,Job,PERSON,biblical man,Q179962,https://www.wikidata.org/wiki/Q179962,46762859,https://viaf.org/viaf/46762859/,,,,,,,,,,
15,Ἰωσήφ,Joseph,PERSON,biblical man,Q128267,https://www.wikidata.org/wiki/Q128267,147328714,https://viaf.org/viaf/147328714/,,,,,,,,,,
18,Παῦλος,Paul,PERSON,apostle,Q9200,https://www.wikidata.org/wiki/Q9200,100178828,https://viaf.org/viaf/100178828/,,,,,,,,,,
19,Πέτρος,Peter,PERSON,apostle,Q33923,https://www.wikidata.org/wiki/Q33923,13581141,https://viaf.org/viaf/13581141/,,,,,,,,,,
21,Ῥωμανός,"Romanos II, Byzantine emperor, 959-963",PERSON,emperor,Q41847,https://www.wikidata.org/wiki/Q41847,6521159880871718540002,https://viaf.org/viaf/6521159880871718540002/,,,26834,https://www.degruyter.com/database/PMBZ/entry/PMBZ28988/html,,,,,,
22,Ῥώμη,Rome,PLACE,city,Q220,https://www.wikidata.org/wiki/Q220,251380480,https://viaf.org/viaf/251380480/,TM Geo 2058,https://www.trismegistos.org/place/2058,,,423025,http://pleiades.stoa.org/places/423025,3169070,https://www.geonames.org/3169070,41.89262,12.4843457
23,νῆσος,Saltes Island,PLACE,island,Q4119050,https://www.wikidata.org/wiki/Q4119050,315163713,https://viaf.org/viaf/315163713/,TM Geo 61142,https://www.trismegistos.org/place/61142,,,256201,http://pleiades.stoa.org/places/256201,2511493,https://www.geonames.org/2511493,37.18916,-6.94522
24,Στέφανος,Stephen,PERSON,saint,,,,,,,21610,https://www.degruyter.com/database/PMBZ/entry/PMBZ23763/html,,,,,,
13,Ταβαρία,Tiberias,PLACE,city,Q151920,https://www.wikidata.org/wiki/Q151920,141911949 ,https://viaf.org/viaf/141911949/,TM Geo 16863,https://www.trismegistos.org/place/16863,,,678431,http://pleiades.stoa.org/places/678431,293322,https://www.geonames.org/293322,32.785741,35.541973
25,‌ἔφθασε ‌δὲ ‌καὶ ‌ἕως ‌τῆς ‌εὐσεβοῦς ‌βασιλείας ‌Ῥωμανοῦ ‌καὶ ‌Κωνσταντίνου ‌τῶν ‌πορφυρογεννήτων ‌καὶ ‌χριστιανικωτάτων ‌βασιλέων,"955 (ca.), Reign of emperors Constantin VII and Romanos II",TIME,time,,,,,,,,,,,,,,
16,καταλαμβάνει ‌τὰ Ἱεροσόλυμα,Travel of Dounale-Stephen from Constantinople to Jerusalem,EVENT,travel,,,,,,,,,,,,,,
17,ἐν ‌τῇ Ῥώμῃ ‌ἔρχεται,Travel of Dounale-Stephen from Huelva to Rome,EVENT,travel,,,,,,,,,,,,,,
20,πρὸς ‌τὴν ‌βασιλεύουσαν ‌τῶν ‌πόλεων ‌ἔρχεται,Travel of Dounale-Stephen from Rome to Constantinople,EVENT,travel,,,,,,,,,,,,,,
26,παραχειμάσαντος,531,TIME,time,,,,,,,,,,,,,,
27,ἦν γὰρ ὡς ἐτῶν εἴκοσι καὶ πέντε,786 (ca.),TIME,time,,,,,,,,,,,,,,
