relation,source,source_UUID,target,target_UUID
TravelFrom,πρὸς ‌τὴν ‌βασιλεύουσαν ‌τῶν ‌πόλεων ‌ἔρχεται,0b4f6863-3747-4bab-9bd8-c11995481e84,Ῥώμῃ,ada8f0c1-16b0-4fb1-ad24-c0a6ef37a2ea
TravelTo,πρὸς ‌τὴν ‌βασιλεύουσαν ‌τῶν ‌πόλεων ‌ἔρχεται,0b4f6863-3747-4bab-9bd8-c11995481e84,βασιλεύουσαν,ad3dae30-8cc6-4def-8760-5f06a7d15738
TravelPerson,πρὸς ‌τὴν ‌βασιλεύουσαν ‌τῶν ‌πόλεων ‌ἔρχεται,0b4f6863-3747-4bab-9bd8-c11995481e84,Δουναλέ,045fae6c-9e2e-4b6b-a92f-a3c29e008d89
TravelTime,πρὸς ‌τὴν ‌βασιλεύουσαν ‌τῶν ‌πόλεων ‌ἔρχεται,0b4f6863-3747-4bab-9bd8-c11995481e84,‌ἔφθασε ‌δὲ ‌καὶ ‌ἕως ‌τῆς ‌εὐσεβοῦς ‌βασιλείας ‌Ῥωμανοῦ ‌καὶ ‌Κωνσταντίνου ‌τῶν ‌πορφυρογεννήτων ‌καὶ ‌χριστιανικωτάτων ‌βασιλέων,fd3292fe-7a71-4673-ac23-c91a4091f3e5
TravelFrom,καταλαμβάνει ‌τὰ Ἱεροσόλυμα,72f0e57c-6c2e-48cc-8026-4c9c7a922701,βασιλεύουσαν,ad3dae30-8cc6-4def-8760-5f06a7d15738
TravelTo,καταλαμβάνει ‌τὰ Ἱεροσόλυμα,72f0e57c-6c2e-48cc-8026-4c9c7a922701,Ἱεροσόλυμα,5fa0253d-5579-4ff9-bc6d-0a3d97c60dab
TravelPerson,καταλαμβάνει ‌τὰ Ἱεροσόλυμα,72f0e57c-6c2e-48cc-8026-4c9c7a922701,Δουναλέ,045fae6c-9e2e-4b6b-a92f-a3c29e008d89
TravelTime,καταλαμβάνει ‌τὰ Ἱεροσόλυμα,72f0e57c-6c2e-48cc-8026-4c9c7a922701,‌ἔφθασε ‌δὲ ‌καὶ ‌ἕως ‌τῆς ‌εὐσεβοῦς ‌βασιλείας ‌Ῥωμανοῦ ‌καὶ ‌Κωνσταντίνου ‌τῶν ‌πορφυρογεννήτων ‌καὶ ‌χριστιανικωτάτων ‌βασιλέων,fd3292fe-7a71-4673-ac23-c91a4091f3e5
TravelFrom,ἐν ‌τῇ Ῥώμῃ ‌ἔρχεται,1e209a5a-d59a-4c4e-a8f8-1d5dab17a359,νήσου,42f8aafb-0f0d-4498-b550-ba0566ee0712
TravelTo,ἐν ‌τῇ Ῥώμῃ ‌ἔρχεται,1e209a5a-d59a-4c4e-a8f8-1d5dab17a359,Ῥώμῃ,ada8f0c1-16b0-4fb1-ad24-c0a6ef37a2ea
TravelPerson,ἐν ‌τῇ Ῥώμῃ ‌ἔρχεται,1e209a5a-d59a-4c4e-a8f8-1d5dab17a359,Δουναλέ,045fae6c-9e2e-4b6b-a92f-a3c29e008d89
TravelTime,ἐν ‌τῇ Ῥώμῃ ‌ἔρχεται,1e209a5a-d59a-4c4e-a8f8-1d5dab17a359,‌ἔφθασε ‌δὲ ‌καὶ ‌ἕως ‌τῆς ‌εὐσεβοῦς ‌βασιλείας ‌Ῥωμανοῦ ‌καὶ ‌Κωνσταντίνου ‌τῶν ‌πορφυρογεννήτων ‌καὶ ‌χριστιανικωτάτων ‌βασιλέων,fd3292fe-7a71-4673-ac23-c91a4091f3e5
TravelTo,ἐξῆλθε,6e164233-ad30-4e2f-85fd-4c03b0f0f6c0,Σελευκείας,eb155ca7-15e0-42e7-9788-6f41c528ea79
TravelTime,ἐξῆλθε,6e164233-ad30-4e2f-85fd-4c03b0f0f6c0,μηνὶ μαΐῳ ὑνδ. ζ',f033a361-bec7-4fb5-9131-321a0968afda
TravelPerson,ἐξῆλθε,6e164233-ad30-4e2f-85fd-4c03b0f0f6c0,Μιχαήλ,9a128351-a849-442b-a98e-531d36f4f81d
TravelPerson,ἐξῆλθε,6e164233-ad30-4e2f-85fd-4c03b0f0f6c0,Θεοδώρου,c5c65c08-e36f-44ec-bd22-96ebe3e96bed
TravelPerson,ἐξῆλθε,6e164233-ad30-4e2f-85fd-4c03b0f0f6c0,Θεοφάνους,c7d5b242-60a6-4620-8dd2-8905d1e00dbf
TravelPerson,ἐξῆλθε,6e164233-ad30-4e2f-85fd-4c03b0f0f6c0,'Ιὼβ,819d2296-4d81-40ac-8f0a-b5c7b40c97a0
TravelTime,κεχειροτόνηκεν,847c5c6f-d413-42cd-9ad3-3a0a869dd5f1,ἐν δὲ τῷ μέλλειν τοῦτον,654a9028-3532-4e5a-b6ce-c434e100a2b3
TravelPerson,κεχειροτόνηκεν,847c5c6f-d413-42cd-9ad3-3a0a869dd5f1,Θεοφάνην,3d5d3832-4ee6-4ac5-945e-1b1aa3cccfbe
TravelFrom,κεχειροτόνηκεν,847c5c6f-d413-42cd-9ad3-3a0a869dd5f1,Κωνσταντινουπόλει,6979d5ff-78f3-43c8-8308-97a5c3df9c69
TravelTo,κεχειροτόνηκεν,847c5c6f-d413-42cd-9ad3-3a0a869dd5f1,Νίκαιαν,91d13c5f-9239-4a2a-bb54-e2bbe30af0a7
TravelPerson,καταλαβόντος,cf89a635-4ba9-4a6b-92b9-a59fa92fee52,Θεοφάνους,a205c1c3-cfa4-44ba-8a5a-2ed976dc26e4
TravelTime,καταλαβόντος,cf89a635-4ba9-4a6b-92b9-a59fa92fee52,τῇ ἐνδεκάτῃ τοῦ ὀκτωβρίου μηνὸς τῆς ἐνάτης ὑνδικτιῶνος,38f7a8af-4f18-456b-a6cb-26c73d34dcf9
TravelTo,καταλαβόντος,cf89a635-4ba9-4a6b-92b9-a59fa92fee52,Κωνσταντινούπολιν,24b63524-4d64-4a62-a5f9-b36e701f0bb7
TravelFrom,καταλαβόντος,cf89a635-4ba9-4a6b-92b9-a59fa92fee52,Νίκαιαν,91d13c5f-9239-4a2a-bb54-e2bbe30af0a7
TravelFrom,ἐξορίστους,4087f385-e917-41fb-8ec5-ff0b07f7b0a0,Κωνσταντινουπόλει,f3665f5f-7178-4beb-b7b9-4798263fb6db
TravelTo,ἐξορίστους,4087f385-e917-41fb-8ec5-ff0b07f7b0a0,'Αφουσίᾳ,02e317b3-8219-42f7-ac09-de289f40f384
TravelTime,ἐξορίστους,4087f385-e917-41fb-8ec5-ff0b07f7b0a0,μηνὶ αὐγούστῳ ὑνδικτιῶνος ἑβδόμης,3f71d834-c70b-471c-a87e-eb2d752d92e6
TravelPerson,ἐξορίστους,4087f385-e917-41fb-8ec5-ff0b07f7b0a0,Θεόδωρον,266663da-52d7-4b73-901d-1fdfadf9904e
TravelPerson,ἐξορίστους,4087f385-e917-41fb-8ec5-ff0b07f7b0a0,Θεοφάνην,1a7dbc93-76d6-466d-bffc-5b5901b76e4e
TravelPerson,ἀποσταλεὶς,aa8be3c7-dcac-4d84-ba21-2e0be241ca87,Σάβας,79533d10-3c47-40d7-9835-d29afe1249ab
TravelTime,ἀποσταλεὶς,aa8be3c7-dcac-4d84-ba21-2e0be241ca87,παραχειμάσαντος,4ba285a3-74cc-4f1c-a57d-ab1305b78ce3
TravelFrom,ἀποσταλεὶς,aa8be3c7-dcac-4d84-ba21-2e0be241ca87,`Ιεροσολύμων,7e8d4efa-4b86-487e-9eb7-b7260a0e11b5
TravelTo,ἀποσταλεὶς,aa8be3c7-dcac-4d84-ba21-2e0be241ca87,Κωνσταντινουπόλει,a323fd85-47c8-4d8a-8d50-bacb8a243f0c
TravelPerson,καταλαβόντος,70ea3dec-b14b-468b-a5fd-44fd10e3ddf9,Μεθοδίου,a2a40e37-a26f-421f-a5a6-06919ef14887
TravelTime,καταλαβόντος,70ea3dec-b14b-468b-a5fd-44fd10e3ddf9,καὶ δὴ τούτου γενομένο,67bf5a43-0705-45c8-a103-95b6519584a1
TravelFrom,καταλαβόντος,70ea3dec-b14b-468b-a5fd-44fd10e3ddf9,τῶν 'Ελεοβωμητῶν μονῇ,1f9e35ea-981a-4b51-a58b-28ea8520e13b
TravelTo,καταλαβόντος,70ea3dec-b14b-468b-a5fd-44fd10e3ddf9,Κωνσταντινούπολιν,d2c7a65c-37e6-4ace-b4a0-8c704da04c6e
TravelFrom,μεταστήσας,4a393a1d-8890-418c-be86-f6e78f2b78bf,Λαύρας,10c61e7a-ce90-4d46-801e-af9c77ee6173
TravelTo,μεταστήσας,4a393a1d-8890-418c-be86-f6e78f2b78bf,μονῇ τῶν Σπουδαίων,f39208ac-5f45-40ce-9870-4ad09341c6af
TravelTime,μεταστήσας,4a393a1d-8890-418c-be86-f6e78f2b78bf,πεντηκοστῷ,0ec87e4e-cdd4-4606-88a8-fae8db419c63
TravelPerson,μεταστήσας,4a393a1d-8890-418c-be86-f6e78f2b78bf,Μιχαὴλ,7628fb9f-7d6c-4fed-b316-8232556f63c5
TravelPerson,μεταστήσας,4a393a1d-8890-418c-be86-f6e78f2b78bf,Θεοδώρου,ec25aaad-d941-40b5-9d0a-d854fa528030
TravelPerson,μεταστήσας,4a393a1d-8890-418c-be86-f6e78f2b78bf,Θεοφάνους,f67ec7ed-4f2f-410b-97c6-34678085cd76
TravelPerson,καταλαμβάνει,9fb60b01-702f-4700-8038-1d1a57c1012d,Μιχαὴλ,59eccee5-41da-4cbb-a7bb-9b750d3d2233
TravelFrom,καταλαμβάνει,9fb60b01-702f-4700-8038-1d1a57c1012d,'Αναστάσει,b527d18e-72c7-4194-9b0c-390837858fe0
TravelTo,καταλαμβάνει,9fb60b01-702f-4700-8038-1d1a57c1012d,τὴν μεγίστην λαύραν τοῦ ἐν ἁγίοις πατρὸς ἡμῶν καὶ καθηγητοῦ τῆς ἐρήμου Σάβα,af78c48f-5da4-49d1-91b9-1024a85ee8cf
TravelTime,καταλαμβάνει,9fb60b01-702f-4700-8038-1d1a57c1012d,ἦν γὰρ ὡς ἐτῶν εἴκοσι καὶ πέντ,c61b1019-ad8f-47a4-8561-c430e7af3852
TravelFrom,καταλαβόντος,c25a1861-6788-4532-99d7-3c0b7627f3dd,Παρουσιάδος,d697f19e-f534-4a27-a295-980d9aaf85df
TravelTo,καταλαβόντος,c25a1861-6788-4532-99d7-3c0b7627f3dd,Κωνσταντινούπολιν,b5a873fd-d27f-484a-8da2-0da975e74a6e
TravelTime,καταλαβόντος,c25a1861-6788-4532-99d7-3c0b7627f3dd,τῷ πέμπτῳ ἔτει,b4932762-f3b6-4977-b185-88d4b963bb86
TravelPerson,καταλαβόντος,c25a1861-6788-4532-99d7-3c0b7627f3dd,Μιχαήλ,9886f9ff-c51b-4d4e-aa63-300340502bad
TravelPerson,καταλαβόντος,c25a1861-6788-4532-99d7-3c0b7627f3dd,'Ιὼβ,7476c343-346c-4c2c-8901-9d1fc8240666
TravelFrom,ἐπανελθεῖν,d10eef13-0cc2-41f3-b78c-476b09edfb52,'Αφουσίας,aff8554e-0996-42cb-9e1a-a8e9be08c910
TravelTo,ἐπανελθεῖν,d10eef13-0cc2-41f3-b78c-476b09edfb52,Κωνσταντινουπόλει,1d603841-b0b1-41f1-aa2d-300cc084998f
TravelPerson,ἐπανελθεῖν,d10eef13-0cc2-41f3-b78c-476b09edfb52,Θεόδωρον,99a6f771-708c-4c33-a532-ac0b2b7fbdde
TravelPerson,ἐπανελθεῖν,d10eef13-0cc2-41f3-b78c-476b09edfb52,Θεοφάνην,addc584b-facf-4c71-96c2-98934e6fcd77
TravelTime,ἐπανελθεῖν,d10eef13-0cc2-41f3-b78c-476b09edfb52,"ὑουλίῳ μηνὶ ὀγδόῃ, ὑνδικτιῶνος τεσσαρεσκαιδεκάτης",182038ec-7862-4c64-8691-28cdb10b9f7e
TravelFrom,εὑσῆλθεν,6e2112b3-07f3-4b73-b121-361096dcedee,Σελευκείας,eb155ca7-15e0-42e7-9788-6f41c528ea79
TravelTo,εὑσῆλθεν,6e2112b3-07f3-4b73-b121-361096dcedee,Κωνσταντινουπόλει,634b2b1e-5a91-4711-9cb8-d40f8d3763a5
TravelTime,εὑσῆλθεν,6e2112b3-07f3-4b73-b121-361096dcedee,μηνὶ μαΐῳ ὑνδ. ζ',f033a361-bec7-4fb5-9131-321a0968afda
TravelPerson,εὑσῆλθεν,6e2112b3-07f3-4b73-b121-361096dcedee,Μιχαὴλ,7f2bf230-a98a-402d-bfdf-b47e39220f4e
TravelPerson,εὑσῆλθεν,6e2112b3-07f3-4b73-b121-361096dcedee,Θεοδώρου,c5c65c08-e36f-44ec-bd22-96ebe3e96bed
TravelPerson,εὑσῆλθεν,6e2112b3-07f3-4b73-b121-361096dcedee,Θεοφάνους,c7d5b242-60a6-4620-8dd2-8905d1e00dbf
TravelPerson,εὑσῆλθεν,6e2112b3-07f3-4b73-b121-361096dcedee,'Ιὼβ,819d2296-4d81-40ac-8f0a-b5c7b40c97a0
TravelFrom,παραπεμφθῆναι,e6c399dc-4ccc-45e4-a66f-8421bbb25c2b,Κωνσταντινούπολιν,b5a873fd-d27f-484a-8da2-0da975e74a6e
TravelTo,παραπεμφθῆναι,e6c399dc-4ccc-45e4-a66f-8421bbb25c2b,Παρουσιάδος,d697f19e-f534-4a27-a295-980d9aaf85df
TravelTime,παραπεμφθῆναι,e6c399dc-4ccc-45e4-a66f-8421bbb25c2b,ἓξ δὲ χρόνων διιππευσάντων,5e88ee8b-c459-475f-954a-1ed3869be44e
TravelPerson,παραπεμφθῆναι,e6c399dc-4ccc-45e4-a66f-8421bbb25c2b,Μιχαὴλ,ea74ee8d-54c9-4b5e-9645-67d0dbac198d
TravelPerson,παραπεμφθῆναι,e6c399dc-4ccc-45e4-a66f-8421bbb25c2b,'Ιὼβ,29dd9a00-5ae6-421a-b16d-9776dd2ab4f9
TravelTo,φθάσαντες,c0cc4c88-152e-4887-87e6-895e523e8e9c,Ναύπακτον,cb8a62b0-5842-4c2c-83a2-47f8d25d57c6
TravelFrom,φθάσαντες,c0cc4c88-152e-4887-87e6-895e523e8e9c,'Ερικοῦσαν,9c546d6f-6950-4b0c-96ea-831d9ee0f7c8
TravelTime,φθάσαντες,c0cc4c88-152e-4887-87e6-895e523e8e9c,γενομένοις,cc1ce303-f80b-43b8-9b7f-2941b4b7446d
TravelPerson,φθάσαντες,c0cc4c88-152e-4887-87e6-895e523e8e9c,Κουσώνιον,f9bfeb51-a8c5-4165-b375-b3edbf165ce9
